station_name,lat,lon
"# Rowery skradzione Wrocław 2014","",""
"#Magazyn Wrocław 2020/21","",""
"#Magazyn Wrocław ebike 2021/22","",""
"#Piknik miejski 2021","",""
"#Rowery zapasowe Warszawa","",""
".GOTOWE DO REZERWACJI","",""
.RELOKACYJNA,"",""
".RELOKACYJNA 2020","",""
".RELOKACYJNA 2022","",""
".RELOKACYJNA A1-4","",""
".SAMOCHÓD 1",,
".SAMOCHÓD 2",,
".SAMOCHÓD 3",,
".SERWIS - POMOSTÓWKA",,
".SERWIS - ŁADOWANIE","",""
3M,51.1277,17.11456
"Akademia Wojsk Lądowych",51.141921,17.055193
"Aleja Bielany",51.048391,16.961699
"Aleja Hallera / Mielecka",51.089315,17.001501
"Aleja Kromera",51.132259,17.065453
"Amazon WRO2",51.034956,16.950763
Aquapark,51.0888621,17.0340695
Arena,51.0950308,17.02727
"Arena - Komandorska",51.0950308,17.02727
Arkady,51.1015635,17.0297295
"Armii Krajowej - Borowska",51.0835417,17.0352193
"Armii Krajowej/Kaczorowskiego","",""
"Arsenał - Nowe Horyzonty",,
Awicenny,51.081686,16.956292
"BIKE 590003",51.262049,16.818262
"BIKE 590004",51.160302,16.902733
"BIKE 590005",51.110107,16.951868
"BIKE 590007",51.128604,16.792298
"BIKE 590012",51.130062,17.092379
"BIKE 590023",51.107489,17.04179
"BIKE 590024",51.113924,17.022656
"BIKE 590026",51.11796,16.96302
"BIKE 590030",51.1766,17.179238
"BIKE 590034",51.139044,16.758989
"BIKE 590035",51.114582,17.057722
"BIKE 590037",51.155289,16.91436
"BIKE 590040",51.055769,17.008587
"BIKE 590041",51.162009,17.052744
"BIKE 590043",51.088502,17.131773
"BIKE 590046",51.196267,16.938224
"BIKE 590048",51.093813,16.986063
"BIKE 590051",51.106382,16.999859
"BIKE 590052",51.087102,17.000053
"BIKE 590054",51.022871,16.908824
"BIKE 590056",51.101596,16.823317
"BIKE 590057",51.151449,16.940207
"BIKE 590058",50.552382,18.219211
"BIKE 590059",51.106387,16.903564
"BIKE 590061",51.091147,16.86554
"BIKE 590062",51.686662,16.925464
"BIKE 590063",51.115493,16.912574
"BIKE 590066",51.190084,16.953478
"BIKE 590067",51.109547,17.119839
"BIKE 590070",51.197356,17.272844
"BIKE 590072",51.111711,17.027127
"BIKE 590074",51.115436,17.052866
"BIKE 590076",51.195142,16.91007
"BIKE 590077",51.164453,16.984461
"BIKE 590079",51.105747,16.962931
"BIKE 590084",51.193009,16.793764
"BIKE 590088",51.114378,16.890604
"BIKE 590091",51.094187,17.141321
"BIKE 590092",51.076311,17.043476
"BIKE 590093",51.211058,16.6879
"BIKE 590095",51.117276,17.116139
"BIKE 590097",51.08636,17.053253
"BIKE 590098",51.124,17.14765
"BIKE 590099",51.116649,16.995829
"BIKE 590106",51.105062,16.903812
"BIKE 590107",51.844467,17.185219
Bacciarellego,51.105578,17.111316
"Bacciarellego / pętla autobusowa",51.10224,17.11645
"Bajana - Szybowcowa",51.1300268354605,16.9660483331061
"Bajana / Szybowcowa",51.13004,16.96605
"Bardzka (cmentarz)",51.07217,17.05281
"Bardzka / Piękna",51.085034,17.04932
"Bałtycka / Żmigrodzka",51.13959,17.03216
"Berenta / Kasprowicza",51.138463,17.059804
"Bezpieczna / Obornicka",51.14156,17.02587
"Bezpieczna/Jugosławiańska",51.13894,17.02028
"Bielany Wrocławskie Kolejowa P&R",,
Bierutowska,51.152216,17.13217
"Bogatyńska / Turoszowska",51.153669,16.944094
"Boguszowska / Kosmonautów",51.14395,16.89012
"Boiskowa / Koreańska",51.049944,17.082919
Boranta,"",""
"Borowska (Uniw. Szpital Kliniczny)",51.074868,17.032457
"Borowska / Kamienna (Aquapark)",51.088908,17.034051
"Botaniczna (Ogród botaniczny - Mini ZOO) ","",""
"Braci Niemojowskich/Szkoła","",""
"Buforowa - Vivaldiego",51.051546,17.059094
"Bułgarska",51.1357268,17.0271556
"Bułgarska / Marcelińska","",""
"Bystrzycka / Idzikowskiego",51.12658,16.95499
"Centrum Handlowe Auchan Bielany",51.052723,16.968801
"Centrum Handlowe Borek",51.088489,16.9982133019807
"Centrum Przesiadkowe","",""
"Centrum Przesiadkowe ","",""
"Chałubińskiego / Mikulicza-Radeckiego",51.111356,17.067636
"Cm. Miejski","",""
"Cmentarz Tyniecki","",""
Czarnuszkowa/Waniliowa,51.18079,16.999845
"Czekoladowa / Wałbrzyska",51.06404,16.97753
"DCF - Nowe Horyzonty",,
"Dalimira/Pęgowska",51.196906,16.974741
Dmowskiego/Stablewskiego,"",""
Dobrzecka/Reja,"",""
"Dobrzykowice ul. Szkolna",,
"Drobnera - Dubois",51.1170218,17.0335338
"Drobnera / Dubois",51.117032,17.033499
"Drobnera / Plac Bema",51.117557,17.040967
"Drzewieckiego / Dedala",51.125652,16.968627
"Dworcowa (Dworzec kolejowy)","",""
"Dworzec Autobusowy",51.0975177,17.0327537
"Dworzec Głowny PKP",51.097916,17.0379512
"Dworzec Główny",51.09975,17.036228
"Dworzec Główny ",51.09975,17.036228
"Dworzec Główny, południe",51.097108,17.03611
"Dworzec Mikołajów",51.1153378,16.9987382
"Dworzec Nadodrze",51.1248037,17.0351125
"Dworzec PKP",51.12608245,16.9156934772862
"Dworzec PKP ",51.12608245,16.9156934772862
"Dworzec kolejowy - południe",51.0971246883899,17.036084777197
"Dworzec kolejowy - północ",51.0997577068757,17.0362374722212
"Dyrekcyjna / Borowska (Wroclavia)",51.095322,17.033388
"FAT - Grabiszyńska - Hallera",51.093165441377,16.9782250715241
"Fabryczna / Wagonowa",51.112726,16.988762
"Fabryczna 6",51.112387,16.993157
"Fabryczna  (WSB)",51.1124142,16.9821239
"Fosa Miejska",51.104163,17.031115
"Fosa Miejska ",51.10425875,17.0330841366768
"Gajowa/Nadleśnictwo","",""
Gajowicka,51.085656,17.00453
"Gazowa / Międzyleska",51.07814,17.07026
"Gliniana - Gajowa",51.0915376,17.0403339
"Gliniana / Gajowa",51.09152,17.04033
"Gnieźnieńska / Długa",51.122409,17.012313
"Gorlicka / Litewska",51.141797,17.123711
Gorlicka/Stanety,51.14518,17.11679
"Grabiszyńska - Stalowa",51.0993447,17.0006781
"Grabiszyńska / Aleja Hallera",51.094413,16.980911
"Grabiszyńska / Magazynierska (Corte Verona)",51.096659,16.988566
"Grabiszyńska / Stalowa",51.099354,17.000697
"Graniczna / Strzegomska",51.10702,16.94971
Grapowa,51.061535,17.065717
"Grochowa - Jemiołowa",51.0955716,17.0080294
"Grochowa / Jemiołowa",51.095597,17.008045
"Grochowa / Jemiołowa,",51.0955716,17.0080294
"Grota-Roweckiego / Parafialna",51.06277,17.0321
Grota-Roweckiego/Iwaszkiewicza,51.05687,17.03236
"Grunwaldzka / Grochowska","",""
"Główny Rynek","",""
"Hala Stulecia",51.107838,17.073909
"Hala Stulecia - Konferencja","",""
"Hala Targowa",51.11243015,17.0403366043802
"Hallera - Odkrywców",51.0911835,16.9857815
"Hallera / Odkrywców",51.09126,16.98581
"Hermanowska / Kołobrzeska",51.12353,16.95059
"Hubska / Prudnicka",51.089572,17.045321
"Ibn Siny Awicenny (Wrocław Zachodni)",51.090573,16.950684
"Inflancka/os. Lecha","",""
"Inowrocławska - Urząd Skarbowy",51.1143197502197,17.0137872325964
"Jagiełły / Dmowskiego",51.116596,17.023879
"Jagiełły / Dmowskiego ",51.116596,17.023879
"Jagodzińska / Buforowa",51.058564,17.056696
"Janiszewskiego (PWr)",51.109332,17.060511
"Jedności Narodowej - Nowowiejska",51.1248767,17.0458535
"Jedności Narodowej - Oleśnicka",51.1215113630724,17.0432650968806
"Jedności Narodowej - Wyszyńskiego",51.1281368,17.0548255
"Jedności Narodowej / Wyszyńskiego",51.12814,17.05477
Jerzmanowska,51.120913,16.876257
"Jerzmanowska / Adamczewskich",51.12056,16.866329
"Jerzmanowska/Kośnego",51.120579,16.863576
"Jodłowicka",51.169936,16.896987
"Joliot-Curie (Uwr)",51.110662,17.052712
"Kamieniec Wrocławski - Szkoła",,
"Kamienna - Gajowa",51.0875987621226,17.0403213015141
"Kamienna / Borowska (Aquapark)",51.088908,17.034051
"Kamienna / Tomaszowska",51.087764,17.039318
"Kamieńskiego",51.15472,17.04376
"Kamieńskiego / Jutrosińska",51.147082,17.042321
"Karwińska / Opolska",51.08149,17.07693
"Kasprowicza / Syrokomli",51.137247,17.048546
"Kazimierza Wielkiego (Helios)",51.110342,17.02601
"Kiełczowska",51.14574,17.13493
"Kino Nowe Horyzonty",,
"Klecińska (Wrocław Grabiszyn)",51.09724,16.97512
"Klecińska / Duńska",51.109433,16.969097
"Komandorska - Kamienna",51.09009,17.0235
"Komandorska / Kamienna",51.09009,17.0235
"Komandorska / Sanocka",51.094653,17.026775
Konduktorska,51.06628,17.05825
"Kopycińskiego/Drabika",51.058262,17.052487
"Kosmonautów / Fieldorfa, szpital wojewódzki",51.14221,16.90591
"Kosmonautów / Glinianki / WUWA2",51.13884,16.93191
"Koszarowa / UWr",51.14128,17.06613
"Kowalska/Lechitów",51.13197,17.11071
"Kozanowska / Pilczycka",51.13252,16.97377
"Kozanowska/Pałucka",51.13863,16.97735
"Kozi Borek","",""
Kozia,51.1645798,16.926342
"Kołobrzeska/Okrąglicka","",""
"Kołłątaja / Podwale",51.103854,17.03678
"Kościuszki - Komuny Paryskiej / Zgodna",51.09897,17.051579
"Kościuszki - Pułaskiego",51.1003562,17.0450599
"Kościuszki / Komuny Paryskiej / Zgodna",51.098959,17.051519
"Kościuszki / Pułaskiego",51.1004,17.045083
"Krakowska / Leroy Merlin",51.09053,17.06373
"Kraszewskiego / Trzebnicka",51.12843,17.0363
"Kredka i Ołówek",51.1139033783434,17.0671098298637
"Krucza - Mielecka",51.0934143,17.0037754
"Krucza / Mielecka / Stalowa",51.093426,17.002893
Krynicka,51.0807564,17.0464126
"Krzycka / Aleja Karkonoska (Park Południowy)",51.074992,17.007058
"Krzywoustego - Rynek Psie Pole",51.147339,17.11452
"Krzywoustego / Korona",51.14035,17.08494
"Ks. Jolanty/Most","",""
"Księgarska / Dekarska / Zduńska",51.17759,17.01588
"Kupiecka (Bachus)","",""
"Kurkowa / Dubois",51.118237,17.028792
"Kutrzeby / Hubala",51.056727,17.022121
"Kwidzyńska pętla",51.12776,17.10254
"Kórnicka","",""
"Legnicka (Park Magnolia)",51.121059,16.993088
"Legnicka - Wejherowska",51.1253167,16.9843492
"Legnicka / Młodych Techników",51.113141,17.012175
"Legnicka / Wejherowska",51.125276,16.984447
"Legnicka / Zachodnia",51.117155,17.000368
"Legnicka / Zachodnia ",51.117155,17.000368
"Lekarska/Żmigrodzka",51.161667,17.027766
"Leśnica - pętla tramwajowa",51.14502,16.872364
"Lotnicza / Bajana",51.13004,16.96605
"Lotnicza / Metalowców",51.13258,16.95697
"Lotnicza / Na Ostatnim Groszu",51.126907,16.978759
"Lubelska/Łukowska",51.165419,16.920266
MAHLE,"",""
Magellana,,
"Majkowska/Węzeł","",""
"Majkowskie Wembley","",""
"Marca Polo (Olimpia Port)",51.110299,17.117854
Marszowicka,51.16525,16.881418
"Maślicka / Brodnicka",51.153259,16.939513
"Maślicka / Stodolna",51.15755,16.92781
"Mickiewicza - pętla tramwajowa",51.1139718,17.1039877
"Mickiewicza / pętla tramwajowa",51.11397,17.10395
"Międzyrzecka",51.09501,17.080458
"Miłoszycka / Swojczycka",51.11464,17.13042
"Miłoszycka / Swojczycka ",51.11464,17.13042
"Mińska / Stanisławowska",51.099401,16.941016
"Mińska / stanisławowska",51.0993938,16.941031
"Mokronos Górny PKP",,
"Most Teatralny","",""
"Mościckiego (stacja kolejowa)",51.063834,17.083366
"Mościckiego / Chińska",51.05909,17.08687
"Mościckiego / Chińska ",51.05909,17.08687
"Mrągowska / Rolna",51.149606,16.938033
"Muzeum Narodowe",51.1108793,17.0476454583161
"Młodych Techników",51.118899,17.013477
"Młynarska/Wąska","",""
"NIOL test","",""
"Na Grobli (PWr - Geocentrum)",51.105207,17.053675
"Na Ostatnim Groszu",51.122636,16.975708
"Norwida / Wyspiańskiego (PWr)",51.107235,17.060715
Nowodworska/Strzegomska,51.114538,16.966035
"Nowowiejska - Prusa",51.1196018438067,17.0569409312541
"Nowowiejska - Wyszyńskiego",51.1224275,17.0520187
"Nowowiejska / Górnickiego",51.119311,17.056784
"Nowowiejska / Jedności Narodowej",51.124879,17.045844
"Nowowiejska / Wyszyńskiego",51.122424,17.052013
"Nyska / Jesionowa",51.08729,17.05115
"Nyska / Piękna",51.084669,17.053112
"Obornicka / Bałtycka",51.136786,17.030368
Ogrody,51.13643595,16.8999936352353
Okulickiego,51.160517,17.12231
Olimpijska,51.1197867,17.0844071
"Olszewskiego - Spółdzielcza",51.1021131,17.1016093
"Olszewskiego / Spółdzielcza",51.10209,17.10168
"Olszewskiego, pętla tramwajowa",51.101428,17.108523
"Opolska / Siemianowicka",51.071275,17.090906
"Opolska / pętla tramwajowa",51.07748,17.08405
Opolska/Jesionowa,"",""
"Oporów (pętla tramwajowa)",51.08451,16.97223
"Os. Przyjaźni",51.0687537,16.9997147
"Os. Sobieskiego",51.1600255,17.1334914
"Osiedlowa/Ciepłownicza Siechnice",,
"Osobowicka - pętla tramwajowa",51.137452,16.994705
"Osobowicka / Ostrowska",51.14382,16.98789
Ostrowskiego,51.095298,16.971707
"Otyńska",51.11251,16.978385
"Otyńska / Traktatowa",51.112322,16.973556
"PKN Orlen - Chodakowska","",""
"Paprotna / Obornicka, zajezdnia MPK",51.148528,17.020477
"Park Południowy - Powstańców Śląskich",51.0753415048718,17.0076179465035
"Park Przyjaźni",51.06335995,17.0041392598765
"Partyzantów / Okrzei",51.109457,17.097924
"Pereca - Grabiszyńska",51.1008556,17.008236
"Pereca / Grabiszyńska",51.100862,17.008224
"Piaski Szczygliczka","",""
"Piaskowa / św. Ducha",51.11289,17.03971
"Pilczycka (Stadion Miejski)",51.143633,16.950712
"Pilczycka / Koszykarska",51.140713,16.958199
"Pilczycka / Kozanowska",51.13699,16.966199
"Piękna",51.085272,17.05681
"Piławska",51.07236,17.04294
"Piłsudskiego / Horyzontalna","",""
"Piłsudskiego / Karkonoska ","",""
"Piłsudskiego 13 od Jump Hall",51.1052,17.02123
"Pl. Jana Pawła II/pomnik A. Asnyka","",""
"Pl. Kromera",51.1323167805385,17.0654368050701
"Plac Bema",51.1166482,17.0417931
"Plac Dominikański (Galeria Dominikańska)",51.108004,17.039528
"Plac Grunwaldzki (DS Ołówek)",51.113912,17.067207
"Plac Grunwaldzki - Polaka",51.1103925,17.0555748
"Plac Grunwaldzki / Polaka",51.110415,17.055591
"Plac Jana Pawła II (Akademia Muzyczna)",51.111489,17.020981
"Plac Kościuszki (Renoma)",51.103354,17.030704
"Plac Legionów",51.104413,17.022536
"Plac Nowy Targ",51.11117095,17.0383976252774
"Plac Orląt Lwowskich",51.1103474,17.0177069
"Plac Powstańców Warszawy (Muzeum Narodowe)",51.110001,17.047736
"Plac Powstańców Śląskich",51.091457,17.017405
"Plac Staszica",51.1227422,17.0307021
"Plac Strzegomski",51.11275905,17.0052029207354
"Plac Strzegomski / Poznańska",51.113703,17.006287
"Plac Uniwersytecki",51.1137453,17.0342597085616
"Plac Uniwersytecki (UWr)",51.113871,17.034484
"Plac Wolnosci",51.1062547,17.0285758996533
"Plac Świętego Macieja / Trzebnicka",51.120474,17.036641
"Plewiska Remiza ","",""
"Pobożnego/Parking","",""
Podmiejska/Orlik,"",""
Polanka,51.1346422,17.0318544
"Poleska / Litewska",51.142323,17.127246
"Politechnika Wrocławska - Gmach Główny",51.1072489824476,17.0613170586597
"Poniatowskiego / Oleśnicka",51.121308,17.043077
Popowice,51.129565,16.989853
"Popowicka ",51.1300497,16.9817472
"Popowicka / Niedźwiedzia",51.1253,16.997218
"Popowicka / Niedźwiedzia ","",""
"Popowicka / Rysia",51.127192,16.991832
"Port Lotniczy",51.110345,16.880269
"Powstańcow Śląskich / Aleja Hallera",51.086689,17.01248
"Powstańców Śląskich (Arkady Wrocławskie)",51.099713,17.027905
"Powstańców Śląskich - Hallera",51.0867254,17.0125593
"Powstańców Śląskich/Orla",51.08,17.00773
"Poza stacją","",""
"Poznań Główny ","",""
"Poznańska/Szpital","",""
"Prochowicka / Dolnobrzeska",51.15127,16.86564
"Promenady Business Park",51.1275681690305,17.0442442950999
"Promenady Wrocławskie",51.128876,17.044998
"Pruślin szkoła","",""
"Przasnyska 6b - Żerań (Dobre)","",""
"Przemysłowa/Św. Czesława","",""
"Przyjaźni",51.06667,16.99435
"Przyjaźni / Karkonoska",51.06841,17.00399
Psary,,
"Psary Centrum",,
"Półwiejska","",""
"Pętla Autobusowa - Dambonia","",""
"Racławicka - Rymarska",51.0802183,16.9946767
"Racławicka / Rymarska",51.08022,16.99467
"Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM)","",""
"Radosna /Brzozowa",,
Radosna/Brzozowa,,
"Radwanice ul. Kolejowa (Biedronka)",,
Rakowiecka,51.09761,17.06855
"Reymonta / Kleczkowska",51.12695,17.02804
"Robotnicza / Fabryczna",51.112387,16.993157
"Rogowska / Zemska",51.11869,16.95336
Rogowska/Sukielicka,51.1180426896134,16.9463110972582
"Rondo Rataje","",""
"Rondo Reagana",51.112154,17.060451
"Rondo Śródka","",""
Rynek,51.109782,17.030175
"Rynek Jeżycki","",""
"Rynek Wildecki","",""
"Rzeczypospolitej / Okrężna","",""
"Sadowa/McDonald's","",""
"Sandbox MMeissner-áéőű","",""
Semaforowa,51.05927,17.07877
"Siechnice PKP",,
"Siechnice UM",,
"Sienkiewicza - Piastowska",51.1154752,17.0606915
"Sienkiewicza - Wyszyńskiego",51.1167902,17.0519712
"Sienkiewicza / Piastowska",51.115564,17.060704
"Sienkiewicza / Wyszyńskiego",51.116822,17.051845
"Skarbowców - Wietrzna",51.07329,16.99485
"Skarbowców / Wietrzna",51.07329,16.99485
Skarszewska/Borkowska,"",""
"Sky Tower",51.09451845,17.0195532526258
Smolec,,
"Smoluchowskiego - Łukaszewicza",51.1082363976901,17.0639335569296
"Solskiego / al. Piastów",51.0775,16.96396
"Sołtysowicka / Redycka",51.14905,17.07565
"Stabłowicka",51.171074,16.902364
"Stabłowicka ",51.171074,16.902364
"Stabłowicka / Główna",51.16322,16.89648
"Stabłowicka / Główna ",51.16322,16.89648
"Stacyjna (Dworzec Mikołajów)",51.115354,16.998732
"Stadion Olimpijski",51.118031,17.095563
"Starodębowa (Wrocław Pawłowice)",51.168502,17.109124
"Stawiszyńska/Morelowa","",""
"Stawowa / Wiśniowa Mokronos Dolny",,
"Strachocińska / Wieśniacza",51.10666,17.14298
"Strachowskiego / Parafialna",51.0567710050511,17.0222141347739
"Strzegomska - Gubińska",51.1119854032024,16.9605362120816
"Strzegomska / Estońska",51.111874,16.960692
"Strzegomska / Gałczyńskiego","",""
"Strzegomska / Rogowska",51.11059,16.95514
"Strzegomska / Rogowska ",51.11059,16.95514
"Sukielicka / Rogowska",51.118185,16.946011
"Swojczycka / Magellana",51.113559,17.120977
"Szczęśliwa (Sky Tower)",51.094521,17.020876
"Szewska / Kazimierza Wielkiego",51.107471,17.033335
"Szewska / Kazimierza Wielkiego ",51.107494,17.033344
"TEST_WROCŁAW_ANIA",52.271348,21.0568
Targowisko,51.12135915,17.0296977051744
"Tarnogajska / Klimasa",51.08015,17.06228
"Tatrzańska/Karpacka","",""
Teatr,51.101278,17.0260841506558
"Teatralna - Piotra Skargi",51.1050503951205,17.0374126226501
TechnicznyFVZ,"",""
Teki,51.1035342,17.0857599
"Teststation IT - WROCŁAW 2025",,
"Teststation IT - amazurkiewicz Koszalin","",""
"Teststation IT Adrian Turku","",""
"Traktatowa (przystanek kolejowy)",51.112322,16.973556
"Traugutta - Kościuszki",51.0970713,17.0562926
"Traugutta - Pułaskiego",51.1045415,17.0481081
"Traugutta / Kościuszki",51.097147,17.056251
"Traugutta / Pułaskiego",51.104571,17.048102
"Trymanda / Mińska",51.1031111,16.9462088
"Tyrmanda / Mińska",51.103216,16.9461
"Tyrmanda / Trawowa",51.100211,16.951602
"UAM Wydział Nauk Politycznych i Dziennikarstwa","",""
"Uniwersytet WSB Merito",51.108016,16.983383
"Uniwersytet Wrocławski - Joliot Curie",51.1106529025072,17.0527138193757
"Urząd Miejski",51.11019795,17.0313796187176
"Urząd Skarbowy",51.14811715,17.0309459102126
"Ułańska",51.054164,17.012027
"Ułańska/UAM","",""
"WROSOUND - Nowe Horyzonty",,
"Walońska (Angel Poland Group)",51.103781,17.051548
"Waniliowa / Cynamonowa",51.17592,16.998482
"Wałbrzyska - pętla tramwajowa",51.065777,16.988575
"Wiejska / Pogodna","",""
Wilanowska,51.15509,17.13249
Wilczak,"",""
"Wita Stwosza - Szewska",51.1102777,17.0349239
"Wita Stwosza / Szewska",51.110274,17.034912
"Wojanowska / Arbuzowa",51.15435,16.89888
"Wojanowska / Arbuzowa ",51.15435,16.89888
"Wojska Polskiego/Reja","",""
"Wrocław Leśnica, stacja kolejowa",51.14323,16.86627
"Wrocław Osobowice",51.166806,16.9975
"Wrocław Stadion, stacja kolejowa",51.13673,16.941433
"Wrocław Wojnów, Przy Torze (przystanek kolejowy)",51.103202,17.157738
"Wrocław Wojszyce (przystanek kolejowy)",51.068934,17.032088
"Wrocław Żerniki",,
"Wrocław Żerniki (stacja kolejowa)",51.12645,16.91389
"Wrocławska / Spacerowa Mokronos Górny",,
"Wrocławska/COSSW","",""
"Wróblewskiego (Teki)",51.10411,17.084711
"Wróblewskiego (ZOO)",51.10592,17.075857
"Wysoka Nastrojowa",,
"Wysoka Parkowa / Lipowa",,
Wysoka/Nastrojowa,,
"Wyszyńskiego - Prusa",51.1194339948544,17.0515653717227
"Wyszyńskiego / Szczytnicka",51.113562,17.050674
"Zachodnia - Poznańska",51.1175802,17.007131
"Zachodnia / Poznańska",51.117668,17.007137
"Zajezdnia Gaj",,
"Zaporoska - Gajowicka",51.0971626,17.013934
"Zaporoska - Grabiszyńska",51.1020931,17.0136495
"Zaporoska - Krucza",51.0943131,17.0147808
"Zaporoska - Wielka",51.09431,17.01479
"Zaporoska / Gajowicka",51.097209,17.013967
"Zaporoska / Grabiszyńska",51.102117,17.013683
"Zaporoska / Wielka / Krucza",51.09431,17.01479
"Zatorska / Królewska - pętla MPK",51.160332,17.133683
Ziemniaczana/Boiskowa,51.047299,17.091358
"Zwycięska / Agrestowa",51.0586,17.01411
"Zwycięska / Ołtaszyńska",51.059458,17.006542
"Złotoryjska / Sejmowa","",""
"Złoty Róg","",""
"al. Armii Krajowej / Bardzka",51.08283,17.04824
"al. Armii Krajowej / Borowska",51.08361,17.03523
"al. Armii Krajowej / Tarnogajska",51.083551,17.060519
"al. Brücknera / Kwidzyńska",51.13198,17.07945
"al. Jana III Sobieskiego / stacja kolejowa",51.150227,17.118549
"al. Karkonoska / Jeździecka",51.061472,16.997531
"al. Kochanowskiego / Kopernika",51.11514,17.07436
"al. Kochanowskiego / Śniadeckich",51.120068,17.077684
"al. Kochanowskiego / Śniadeckich ",51.120068,17.077684
"al. Poprzeczna / stacja kolejowa",51.143302,17.08146
freestanding,,
"os. Rusa/Chartowo","",""
"pl. Inwalidów Wojennych","",""
"pl. Orląt Lwowskich",51.10823,17.02138
"pl. Powstańców Wielkopolskich",51.12469,17.03488
"pl. Staszica",51.12266,17.02995
"pl. Strzelecki",,
"pl. Wilsona","",""
"plac Bema",51.120978,17.015039
station_name,lat,lon
"ul. Głęboka / Uniwersytet Przyrodniczy","",""
"ul. Ruska",51.1102797508762,17.0260259170986
"Łukasiewicza / Smoluchowskiego (PWr)",51.108288,17.064884
"Ślęza Parkowa",,
"Ślężna - Kamienna",51.0898273,17.0282379
"Ślężna / Aleja Wiśniowa",51.084239,17.02439
"Ślężna / Kamienna (Uniw. Ekonomiczny)",51.089842,17.028225
"Ślężna / Skierniewicka",51.07708,17.01824
"Ślężna / pętla tramwajowa",51.072302,17.012384
"Średzka / Dolnobrzeska",51.14597,16.86692
"Średzka / Dolnobrzeska ",51.14597,16.86692
"Śrubowa / Strzegomska",51.112911,17.00136
"Świdnicka - Chrobry",51.1041475020857,17.0313398812297
"Świdnicka - Piłsudskiego",51.1013095,17.0285099
"Świdnicka / Piłsudskiego (Hotel Scandic)",51.101319,17.028535
"Świeradowska (Ferio Gaj)",51.07692,17.041439
"Świeradowska (Ferio Gaj )",51.07692,17.041439
"Świeradowska / Krynicka",51.077147,17.046785
"Święta Katarzyna PKP",,
"Żelazna - Pereca",51.0980377,17.006937
"Żelazna / Pereca",51.098027,17.006977
"Żernicka",51.123237,16.924321
"Żerniki Wrocławskie Pętla",,
"Żeromskiego - Daszyńskiego",51.1256111,17.0504423
"Żeromskiego - Kluczborska",51.1223332,17.0475345
"Żeromskiego / Daszyńskiego",51.12566,17.050463
"Żeromskiego / Kluczborska",51.122313,17.047515
"Żmigrodzka / Broniewskiego",51.136111,17.036262
"Żmigrodzka / Kasprowicza",51.1360606198715,17.0362802616758
"Żmigrodzka / Marino",51.15013,17.02903
